rank,material_id,formula,material_name_cn,category,total_score,S_stability,S_protection,S_cost,S_environment,S_industry,recommended_application,recommendation_reason,limitation,data_status,city,application_scene,preference
3,M004,TiAlN,钛铝氮,氮化物涂层,87.5,90,90,70,96,96,港口机械、钢铁装备防护,该材料属于氮化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在青岛港口机械相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,示例数据，仅用于界面测试,青岛,港口机械,综合平衡
4,M002,CrN,氮化铬,氮化物涂层,87.5,90,90,70,96,96,港口机械、船舶配套、海洋装备,该材料属于氮化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在青岛港口机械相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,青岛,港口机械,综合平衡
5,M016,CrAlN,铬铝氮,氮化物涂层,87.5,90,90,70,96,96,海洋装备、港口机械,该材料属于氮化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在青岛港口机械相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,示例数据，仅用于界面测试,青岛,港口机械,综合平衡
6,M015,AlCrN,铝铬氮,氮化物涂层,87.5,90,90,70,96,96,港口机械、海上风电设备,该材料属于氮化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在青岛港口机械相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,示例数据，仅用于界面测试,青岛,港口机械,综合平衡
7,M006,Cr2O3,氧化铬,氧化物涂层,86.75,90,90,70,93,93,海洋装备、港口机械,该材料属于氧化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在青岛港口机械相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,青岛,港口机械,综合平衡
8,M007,TiO2,氧化钛,氧化物涂层,84.75,90,70,90,93,93,海洋牧场装备、海水环境装备,该材料属于氧化物涂层候选体系；具有高稳定性等级和中防护潜力等级；在青岛港口机械相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,青岛,港口机械,综合平衡
9,M008,ZrO2,氧化锆,氧化物涂层,82.25,90,90,50,93,88,海上风电设备、海洋工程,该材料属于氧化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在青岛港口机械相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,青岛,港口机械,综合平衡
10,M009,SiO2,二氧化硅,氧化物涂层,80.55,90,70,90,65,93,海洋牧场装备、海水环境装备,该材料属于氧化物涂层候选体系；具有高稳定性等级和中防护潜力等级；在青岛港口机械相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,青岛,港口机械,综合平衡
1,M005,Al2O3,氧化铝,氧化物涂层,89.75,90,90,90,97,77,海洋装备、海水环境装备,该材料属于氧化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在青岛海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,青岛,海上风电设备,综合平衡
2,M006,Cr2O3,氧化铬,氧化物涂层,85.75,90,90,70,97,77,海洋装备、港口机械,该材料属于氧化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在青岛海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,青岛,海上风电设备,综合平衡
3,M002,CrN,氮化铬,氮化物涂层,85.5,90,90,70,96,76,港口机械、船舶配套、海洋装备,该材料属于氮化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在青岛海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,青岛,海上风电设备,综合平衡
4,M004,TiAlN,钛铝氮,氮化物涂层,85.5,90,90,70,96,76,港口机械、钢铁装备防护,该材料属于氮化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在青岛海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,示例数据，仅用于界面测试,青岛,海上风电设备,综合平衡
5,M016,CrAlN,铬铝氮,氮化物涂层,85.5,90,90,70,96,76,海洋装备、港口机械,该材料属于氮化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在青岛海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,示例数据，仅用于界面测试,青岛,海上风电设备,综合平衡
6,M015,AlCrN,铝铬氮,氮化物涂层,85.5,90,90,70,96,76,港口机械、海上风电设备,该材料属于氮化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在青岛海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,示例数据，仅用于界面测试,青岛,海上风电设备,综合平衡
7,M010,SiC,碳化硅,碳化物涂层,84.75,90,90,70,93,73,港口机械、钢铁装备防护,该材料属于碳化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在青岛海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,青岛,海上风电设备,综合平衡
8,M007,TiO2,氧化钛,氧化物涂层,83.75,90,70,90,97,77,海洋牧场装备、海水环境装备,该材料属于氧化物涂层候选体系；具有高稳定性等级和中防护潜力等级；在青岛海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,青岛,海上风电设备,综合平衡
9,M008,ZrO2,氧化锆,氧化物涂层,81.75,90,90,50,97,77,海上风电设备、海洋工程,该材料属于氧化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在青岛海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,青岛,海上风电设备,综合平衡
10,M009,SiO2,二氧化硅,氧化物涂层,79.55,90,70,90,69,77,海洋牧场装备、海水环境装备,该材料属于氧化物涂层候选体系；具有高稳定性等级和中防护潜力等级；在青岛海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,青岛,海上风电设备,综合平衡
1,M005,Al2O3,氧化铝,氧化物涂层,91.75,90,90,90,97,97,海洋装备、海水环境装备,该材料属于氧化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在烟台海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,烟台,海上风电设备,综合平衡
2,M006,Cr2O3,氧化铬,氧化物涂层,87.75,90,90,70,97,97,海洋装备、港口机械,该材料属于氧化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在烟台海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,烟台,海上风电设备,综合平衡
3,M002,CrN,氮化铬,氮化物涂层,87.5,90,90,70,96,96,港口机械、船舶配套、海洋装备,该材料属于氮化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在烟台海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,烟台,海上风电设备,综合平衡
4,M004,TiAlN,钛铝氮,氮化物涂层,87.5,90,90,70,96,96,港口机械、钢铁装备防护,该材料属于氮化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在烟台海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,示例数据，仅用于界面测试,烟台,海上风电设备,综合平衡
5,M016,CrAlN,铬铝氮,氮化物涂层,87.5,90,90,70,96,96,海洋装备、港口机械,该材料属于氮化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在烟台海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,示例数据，仅用于界面测试,烟台,海上风电设备,综合平衡
6,M015,AlCrN,铝铬氮,氮化物涂层,87.5,90,90,70,96,96,港口机械、海上风电设备,该材料属于氮化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在烟台海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,示例数据，仅用于界面测试,烟台,海上风电设备,综合平衡
7,M010,SiC,碳化硅,碳化物涂层,86.75,90,90,70,93,93,港口机械、钢铁装备防护,该材料属于碳化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在烟台海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,烟台,海上风电设备,综合平衡
8,M007,TiO2,氧化钛,氧化物涂层,85.75,90,70,90,97,97,海洋牧场装备、海水环境装备,该材料属于氧化物涂层候选体系；具有高稳定性等级和中防护潜力等级；在烟台海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,烟台,海上风电设备,综合平衡
9,M008,ZrO2,氧化锆,氧化物涂层,83.25,90,90,50,97,92,海上风电设备、海洋工程,该材料属于氧化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在烟台海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,烟台,海上风电设备,综合平衡
10,M009,SiO2,二氧化硅,氧化物涂层,81.55,90,70,90,69,97,海洋牧场装备、海水环境装备,该材料属于氧化物涂层候选体系；具有高稳定性等级和中防护潜力等级；在烟台海上风电设备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,烟台,海上风电设备,综合平衡
1,M005,Al2O3,氧化铝,氧化物涂层,89.75,90,90,90,97,77,海洋装备、海水环境装备,该材料属于氧化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在烟台船舶装备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,烟台,船舶装备,综合平衡
2,M006,Cr2O3,氧化铬,氧化物涂层,85.75,90,90,70,97,77,海洋装备、港口机械,该材料属于氧化物涂层候选体系；具有高稳定性等级和高防护潜力等级；在烟台船舶装备相关盐雾、高湿或磨损场景中具备较好的初步环境适配评分；成本、毒性和稀有元素风险已纳入可解释评分。,该结果为数据驱动的候选材料初步筛选，不代表实际服役寿命或真实腐蚀速率；实际性能还受涂层制备工艺、孔隙率、厚度、附着力、基体材料、盐雾浓度、电化学环境和温度等因素影响；建议后续通过盐雾测试、极化曲线、电化学阻抗谱和附着力测试验证。,已接入 Materials Project 官方 API 数据,烟台,船舶装备,综合平衡
